Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:20:23.519,114057.3,0.001,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.008,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.007,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.012,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.013,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.003,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.005,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.01,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.002,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.001,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.003,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.046,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.001,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.026,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.001,BTCUSDT
2025-09-30 00:20:23.519,114057.3,0.017,BTCUSDT
2025-09-30 00:20:23.754,114057.3,0.002,BTCUSDT
2025-09-30 00:20:23.867,114057.3,0.002,BTCUSDT
2025-09-30 00:20:23.867,114057.3,0.037,BTCUSDT
2025-09-30 00:20:23.867,114057.3,0.001,BTCUSDT
2025-09-30 00:20:23.867,114057.3,0.013,BTCUSDT
2025-09-30 00:20:23.867,114057.3,0.019,BTCUSDT
2025-09-30 00:20:23.867,114057.3,0.02,BTCUSDT
2025-09-30 00:20:23.867,114057.3,0.02,BTCUSDT
2025-09-30 00:20:23.892,114057.3,0.02,BTCUSDT
2025-09-30 00:20:23.944,114057.2,0.005,BTCUSDT
2025-09-30 00:20:24.562,114057.2,0.023,BTCUSDT
2025-09-30 00:20:24.562,114057.2,0.001,BTCUSDT
2025-09-30 00:20:24.562,114057.2,0.001,BTCUSDT
2025-09-30 00:20:24.562,114057.2,0.001,BTCUSDT
2025-09-30 00:20:24.562,114057.2,0.207,BTCUSDT
2025-09-30 00:20:24.562,114057.2,0.242,BTCUSDT
2025-09-30 00:20:24.562,114057.2,0.025,BTCUSDT
2025-09-30 00:20:24.893,114057.2,0.001,BTCUSDT
2025-09-30 00:20:24.912,114057.2,0.017,BTCUSDT
2025-09-30 00:20:24.953,114057.2,0.004,BTCUSDT
2025-09-30 00:20:25.057,114057.2,0.001,BTCUSDT
2025-09-30 00:20:25.057,114057.2,0.001,BTCUSDT
2025-09-30 00:20:25.170,114057.2,0.008,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.006,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.077,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.165,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.004,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.027,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.381,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.169,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.001,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.002,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.01,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.013,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.005,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.003,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.003,BTCUSDT
2025-09-30 00:20:25.212,114057.3,0.24,BTCUSDT
2025-09-30 00:20:25.626,114057.2,0.001,BTCUSDT
2025-09-30 00:20:25.646,114057.3,0.002,BTCUSDT
2025-09-30 00:20:25.646,114057.3,0.001,BTCUSDT
2025-09-30 00:20:25.646,114057.3,0.01,BTCUSDT
2025-09-30 00:20:25.915,114057.3,0.016,BTCUSDT
2025-09-30 00:20:25.915,114057.3,0.009,BTCUSDT
2025-09-30 00:20:25.915,114057.3,0.078,BTCUSDT
2025-09-30 00:20:26.059,114057.3,0.022,BTCUSDT
2025-09-30 00:20:26.059,114057.3,0.022,BTCUSDT
2025-09-30 00:20:26.226,114057.2,0.001,BTCUSDT
2025-09-30 00:20:26.435,114057.3,0.003,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.012,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.001,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.001,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.001,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.001,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.001,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.006,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.003,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.017,BTCUSDT
2025-09-30 00:20:26.579,114057.2,0.257,BTCUSDT
2025-09-30 00:20:26.641,114057.2,0.01,BTCUSDT
2025-09-30 00:20:26.753,114057.3,0.153,BTCUSDT
2025-09-30 00:20:26.753,114057.3,0.001,BTCUSDT
2025-09-30 00:20:26.753,114057.3,0.001,BTCUSDT
2025-09-30 00:20:26.753,114057.3,0.001,BTCUSDT
2025-09-30 00:20:26.753,114057.3,0.053,BTCUSDT
2025-09-30 00:20:27.010,114057.2,0.006,BTCUSDT
